time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2023-10-07,province,bc,4202.0,872,3878.0,62,2,3878.0,28,755.0,755.0,21,755.0,5,706.0,168,683.0,7,14,64,1.02,0.66,20.75,0.72,1.85,1.65,2.78,23.8,1.6,0.05
2023-10-07,province,qc,15684.0,3480,5628.0,21,2,4333.0,119,1178.0,1195.0,34,1180.0,9,,0,1178.0,1,24,23,0.08,0.76,22.19,2.75,2.04,0.41,2.85,,0.37,0.04
2023-10-14,nation,ca,38462.0,6750,23208.0,114,7,21748.0,391,8879.0,8913.0,123,8911.0,33,7762.0,1222,7435.0,24,114,121,0.32,0.37,17.55,1.8,1.28,0.52,1.38,15.74,0.49,0.03
2023-10-14,province,bc,4047.0,774,3828.0,28,1,3828.0,40,758.0,758.0,16,758.0,10,717.0,166,717.0,1,17,29,0.14,1.32,19.13,1.04,2.24,0.76,2.11,23.15,0.73,0.03
2023-10-14,province,on,8426.0,1287,6283.0,19,0,6281.0,156,4898.0,4915.0,37,4915.0,10,4915.0,677,3461.0,4,57,19,0.12,0.2,15.27,2.48,1.16,0.3,0.75,13.77,0.3,0.0
2023-10-14,province,qc,12605.0,2307,4978.0,11,3,3897.0,144,1094.0,1111.0,38,1096.0,11,,0,1094.0,8,15,14,0.73,1.0,18.3,3.7,1.37,0.28,3.42,,0.22,0.06
2023-10-21,nation,ca,39350.0,6996,24067.0,176,19,22479.0,535,9281.0,9286.0,133,9321.0,43,8204.0,1076,7697.0,13,148,195,0.17,0.46,17.78,2.38,1.59,0.81,1.43,13.12,0.73,0.08
2023-10-21,province,bc,3737.0,640,3599.0,38,4,3599.0,45,733.0,733.0,24,733.0,8,695.0,154,695.0,1,16,42,0.14,1.09,17.13,1.25,2.18,1.17,3.27,22.16,1.06,0.11
2023-10-21,province,on,9300.0,1568,6834.0,32,5,6834.0,254,5293.0,5292.0,40,5298.0,17,5298.0,573,3707.0,2,80,37,0.05,0.32,16.86,3.72,1.51,0.54,0.76,10.82,0.47,0.07
2023-10-21,province,qc,12590.0,2346,5110.0,19,1,3889.0,186,1050.0,1058.0,38,1050.0,14,,0,1050.0,5,16,20,0.48,1.33,18.63,4.78,1.52,0.39,3.59,,0.37,0.02
2023-10-28,nation,ca,37286.0,6670,23268.0,270,23,21745.0,707,9085.0,9099.0,135,9083.0,42,7977.0,999,7576.0,29,110,293,0.38,0.46,17.89,3.25,1.21,1.26,1.48,12.52,1.16,0.1
2023-10-28,province,bc,3262.0,485,3039.0,44,3,3039.0,53,669.0,669.0,20,669.0,5,637.0,148,637.0,3,18,47,0.47,0.75,14.87,1.74,2.69,1.55,2.99,23.23,1.45,0.1
2023-10-28,province,on,9276.0,1795,6814.0,34,4,6814.0,287,5223.0,5223.0,36,5200.0,16,5227.0,520,3707.0,11,50,38,0.3,0.31,19.35,4.21,0.96,0.56,0.69,9.95,0.5,0.06
2023-10-28,province,qc,12003.0,2195,5450.0,35,6,4234.0,264,1063.0,1077.0,39,1066.0,15,,0,1065.0,4,21,41,0.38,1.41,18.29,6.24,1.98,0.75,3.62,,0.64,0.11
2023-11-04,nation,ca,38183.0,6774,25317.0,666,25,23657.0,963,9496.0,9514.0,167,9519.0,52,8385.0,908,7754.0,29,137,691,0.37,0.55,17.74,4.07,1.44,2.73,1.76,10.83,2.63,0.1
2023-11-04,province,bc,3648.0,583,3562.0,92,4,3562.0,84,784.0,784.0,20,784.0,9,736.0,151,736.0,6,28,96,0.82,1.15,15.98,2.36,3.57,2.69,2.55,20.52,2.58,0.11
2023-11-04,province,on,9060.0,1548,6996.0,36,4,6997.0,406,5215.0,5215.0,54,5218.0,9,5218.0,438,3508.0,15,52,40,0.43,0.17,17.09,5.8,1.0,0.57,1.04,8.39,0.51,0.06
2023-11-04,province,qc,11975.0,2206,5705.0,36,4,4506.0,310,1067.0,1085.0,42,1070.0,21,,0,1067.0,3,22,40,0.28,1.96,18.42,6.88,2.06,0.7,3.87,,0.63,0.07
2023-10-07,province,on,9349.0,1646,6456.0,20,0,6456.0,126,4850.0,4851.0,32,4853.0,7,4853.0,717,3390.0,6,58,20,0.18,0.14,17.61,1.95,1.2,0.31,0.66,14.77,0.31,0.0
2023-10-07,nation,ca,42173.0,8354,23658.0,151,12,22042.0,298,8791.0,8809.0,124,8828.0,28,7559.0,1319,7305.0,19,118,163,0.26,0.32,19.81,1.35,1.34,0.69,1.41,17.45,0.64,0.05
2024-01-20,province,bc,4141.0,452,4397.0,427,15,4214.0,285,1003.0,1003.0,29,1003.0,48,968.0,97,968.0,31,13,442,3.2,4.79,10.92,6.76,1.3,10.05,2.89,10.02,9.71,0.34
2023-09-30,province,qc,15431.0,3287,4847.0,10,4,3788.0,90,1117.0,1129.0,23,1118.0,10,,0,1117.0,5,21,14,0.45,0.89,21.3,2.38,1.88,0.29,2.04,,0.21,0.08
2023-09-02,province,on,6230.0,772,4324.0,17,4,4324.0,35,3406.0,3406.0,31,3407.0,7,3409.0,356,2230.0,3,63,21,0.13,0.21,12.39,0.81,1.85,0.48,0.91,10.44,0.39,0.09
2023-09-02,province,qc,9351.0,1524,3339.0,8,5,2540.0,29,847.0,851.0,23,848.0,12,,0,847.0,4,33,13,0.47,1.42,16.3,1.14,3.9,0.39,2.7,,0.24,0.15
2023-09-09,nation,ca,28237.0,4495,15430.0,66,9,14361.0,102,6321.0,6332.0,96,6354.0,25,5414.0,804,5195.0,22,94,76,0.42,0.39,15.92,0.71,1.49,0.49,1.52,14.85,0.43,0.06
2023-09-09,province,bc,2640.0,441,2117.0,31,2,2101.0,5,545.0,545.0,18,545.0,2,516.0,88,516.0,2,9,33,0.39,0.37,16.7,0.24,1.65,1.55,3.3,17.05,1.46,0.09
2023-09-09,province,on,6939.0,1073,4455.0,14,4,4455.0,39,3420.0,3420.0,28,3423.0,7,3423.0,438,2285.0,2,49,18,0.09,0.2,15.46,0.88,1.43,0.4,0.82,12.8,0.31,0.09
2023-09-09,province,qc,10215.0,1774,3649.0,7,1,2750.0,45,868.0,879.0,20,867.0,12,,0,868.0,7,19,8,0.81,1.38,17.37,1.64,2.19,0.22,2.28,,0.19,0.03
2023-09-16,nation,ca,31790.0,5242,18035.0,87,5,16808.0,138,7419.0,7438.0,109,7455.0,29,6331.0,1158,6174.0,14,119,92,0.23,0.39,16.49,0.82,1.6,0.51,1.47,18.29,0.48,0.03
2023-09-16,province,bc,3111.0,642,2703.0,35,1,2702.0,11,753.0,753.0,14,753.0,4,722.0,143,722.0,1,20,36,0.14,0.53,20.64,0.41,2.66,1.33,1.86,19.81,1.29,0.04
2023-09-16,province,on,7337.0,1149,5145.0,15,0,5138.0,52,3886.0,3887.0,35,3886.0,14,3887.0,625,2636.0,6,52,15,0.23,0.36,15.66,1.01,1.34,0.29,0.9,16.08,0.29,0.0
2023-09-16,province,qc,11678.0,2115,4174.0,17,3,3181.0,53,1053.0,1071.0,26,1053.0,8,,0,1053.0,5,23,20,0.47,0.76,18.11,1.67,2.18,0.48,2.43,,0.41,0.07
2023-09-23,nation,ca,36264.0,6745,20121.0,103,4,18782.0,216,8139.0,8149.0,76,8194.0,31,6991.0,1416,6796.0,31,144,107,0.46,0.38,18.6,1.15,1.77,0.53,0.93,20.25,0.51,0.02
2023-09-23,province,bc,3377.0,763,2928.0,43,0,2928.0,15,776.0,776.0,9,776.0,11,747.0,184,747.0,4,11,43,0.54,1.42,22.59,0.51,1.42,1.47,1.16,24.63,1.47,0.0
2023-09-23,province,on,8514.0,1565,5652.0,12,3,5652.0,81,4366.0,4365.0,27,4365.0,6,4365.0,747,2995.0,12,76,15,0.4,0.14,18.38,1.43,1.74,0.26,0.62,17.11,0.21,0.05
