time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2018-02-10,province,mb,7.91,13.67
2018-02-10,province,nb,4.44,27.44
2018-02-10,province,nl,5.99,26.27
2018-02-10,province,pe,25.0,24.68
2018-02-03,province,sk,5.07,30.96
2018-02-03,province,mb,8.18,15.4
2018-02-03,province,nb,0.0,0.0
2018-02-03,province,nl,5.76,28.27
2018-02-03,province,ns,18.14,26.6
2018-02-03,territory,yk,11.76,55.88
2018-02-03,territory,nu,0.0,28.57
2018-02-03,territory,nt,0.0,15.79
2018-02-03,province,ab,0.0,18.65
2018-02-03,province,pe,18.06,27.78
2018-01-27,province,ns,9.85,25.74
2018-01-27,province,mb,5.04,20.48
2018-01-27,province,pe,24.59,16.67
2018-01-27,province,nb,0.0,0.0
2018-01-27,province,ab,0.0,21.92
2018-01-27,province,nl,4.19,13.77
2018-01-27,territory,yk,13.51,45.95
2018-01-27,territory,nt,0.0,27.78
2018-01-27,territory,nu,0.0,50.0
2018-01-27,province,sk,3.9,31.21
2018-01-20,province,mb,6.7,25.36
2018-01-20,province,ab,0.0,25.08
2018-01-20,province,nb,5.0,34.77
2018-01-20,province,nl,4.49,6.18
2018-01-20,province,ns,13.04,25.6
2018-01-20,province,pe,8.79,35.56
2018-01-20,territory,nt,0.0,42.5
2018-01-20,territory,nu,0.0,42.86
2018-01-20,territory,yk,0.0,54.55
2018-01-20,province,sk,2.79,14.88
2018-01-13,province,ab,0.0,29.97
2018-01-13,province,pe,9.43,32.69
2018-01-13,province,sk,3.6,28.99
2018-01-13,territory,nu,0.0,5.26
2018-01-13,province,nl,3.33,16.0
