epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,flu_positive_tests
202421,2024-05-25,2024-05-30,lab,ab,3819,378,2913,13,3,1,17,66,2784,12,792,6,1,48,0,0,792,7,739,0,779,91,792,14,NA
202421,2024-05-25,2024-05-30,region,prairies,5952,493,4528,13,3,3,19,92,4279,24,1153,6,1,84,2,0,1153,11,1109,2,1140,154,1162,26,NA
202421,2024-05-25,2024-05-30,region,bc,2912,309,2852,9,4,0,33,36,2852,6,715,0,2,59,16,0,715,17,715,29,694,107,694,2,NA
202421,2024-05-25,2024-05-30,lab,yt,35,0,27,0,0,0,1,3,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202421,2024-05-25,2024-05-30,lab,nt,17,2,17,0,0,0,0,0,17,1,NA,NA,NA,NA,NA,NA,17,1,17,1,17,4,NA,NA,NA
202421,2024-05-25,2024-05-30,lab,nu,167,6,140,0,0,0,0,6,140,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202421,2024-05-25,2024-05-30,region,territories,219,8,184,0,0,0,1,9,184,6,NA,NA,NA,NA,NA,NA,17,1,17,1,17,4,NA,NA,NA
202421,2024-05-25,2024-05-30,nation,ca,23788,1861,21545,25,14,47,107,313,19655,163,8038,9,10,354,23,175,8066,121,8013,199,6464,737,6617,129,NA
202420,2024-05-18,2024-05-23,lab,nl,849,94,769,0,0,3,3,9,769,25,769,3,5,78,1,0,769,14,769,37,769,116,769,26,NA
202420,2024-05-18,2024-05-23,lab,pe,87,4,83,0,0,0,0,1,83,0,14,1,0,1,0,0,14,0,14,2,14,6,14,0,NA
202420,2024-05-18,2024-05-23,lab,ns,1100,112,1026,0,0,15,15,27,891,5,27,0,0,1,0,0,27,1,27,3,27,2,27,2,NA
202420,2024-05-18,2024-05-23,lab,nb,792,31,788,1,0,1,2,28,788,5,79,0,0,11,0,0,79,2,79,2,79,17,79,2,NA
202420,2024-05-18,2024-05-23,region,atlantic,2828,241,2666,1,0,19,20,65,2531,35,889,4,5,91,1,0,889,17,889,44,889,141,889,30,NA
202420,2024-05-18,2024-05-23,lab,région nord est,1060,52,1048,0,0,1,1,88,552,12,76,0,0,7,0,0,76,2,74,4,NA,NA,76,3,NA
202420,2024-05-18,2024-05-23,lab,québec chaudière appalaches,1437,191,1389,0,0,4,4,43,1342,39,592,0,0,12,1,0,609,13,592,26,NA,NA,484,7,NA
202420,2024-05-18,2024-05-23,lab,centre du québec,1423,58,1341,0,0,8,8,39,765,12,34,0,0,6,0,0,34,3,34,0,NA,NA,34,2,NA
202420,2024-05-18,2024-05-23,lab,montréal laval,1365,62,2083,0,0,8,8,58,1230,16,798,0,2,40,1,0,798,25,799,29,NA,NA,798,22,NA
202420,2024-05-18,2024-05-23,lab,ouest du québec,810,28,544,0,0,0,0,21,541,6,18,0,0,1,0,0,18,1,18,3,NA,NA,18,0,NA
202420,2024-05-18,2024-05-23,lab,montérégie,1020,47,1257,0,0,5,5,26,1256,16,4,0,0,0,0,0,4,0,4,0,NA,NA,4,0,NA
202420,2024-05-18,2024-05-23,region,qc,7115,438,7662,0,0,26,26,275,5686,101,1522,0,2,66,2,0,1539,44,1521,62,NA,NA,1414,34,NA
202420,2024-05-18,2024-05-23,lab,phol ottawa,95,28,80,0,0,0,0,0,80,0,79,0,0,0,0,11,79,1,79,7,79,4,79,0,NA
202420,2024-05-18,2024-05-23,lab,eorla,521,31,318,0,0,3,3,3,318,3,24,0,0,1,0,0,24,0,24,1,24,4,24,0,NA
202420,2024-05-18,2024-05-23,lab,phol kingston,168,45,104,0,0,0,0,0,104,0,50,0,0,0,0,2,50,0,50,8,50,9,50,1,NA
202420,2024-05-18,2024-05-23,lab,uhn mount sinai hospital,914,62,639,0,0,2,2,1,639,1,37,0,0,3,0,0,37,0,37,1,37,5,37,0,NA
202420,2024-05-18,2024-05-23,lab,phol toronto,278,85,809,1,3,0,3,1,809,0,744,0,0,0,0,85,745,9,744,44,744,85,744,41,NA
202420,2024-05-18,2024-05-23,lab,sick kids hospital toronto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202420,2024-05-18,2024-05-23,lab,shared hospital laboratory,1270,83,965,1,1,0,2,5,965,1,958,0,0,0,0,15,958,8,959,13,959,29,959,6,NA
202420,2024-05-18,2024-05-23,lab,phol sault ste marie,15,7,16,0,0,0,0,0,16,0,9,0,0,0,0,0,9,0,9,1,9,0,9,0,NA
202420,2024-05-18,2024-05-23,lab,phol timmins,19,0,35,0,0,0,0,3,35,1,32,0,0,0,0,5,32,0,32,1,32,2,32,1,NA
202420,2024-05-18,2024-05-23,lab,st josephs london,472,30,308,0,0,0,0,3,308,1,54,0,0,0,0,5,54,2,54,1,54,10,54,0,NA
202420,2024-05-18,2024-05-23,lab,phol london,266,47,243,1,0,0,1,0,243,1,221,0,0,0,0,30,221,2,221,25,221,15,221,5,NA
202420,2024-05-18,2024-05-23,lab,phol orillia,20,11,19,0,0,0,0,0,19,0,15,0,0,0,0,0,15,0,15,0,15,0,15,0,NA
202420,2024-05-18,2024-05-23,lab,phol thunder bay,26,5,24,0,0,1,1,3,24,1,16,0,0,0,0,0,16,0,16,0,16,0,16,0,NA
202420,2024-05-18,2024-05-23,lab,phol sudbury,11,0,15,0,0,0,0,0,15,0,13,0,0,0,0,6,13,0,13,1,13,0,13,2,NA
202420,2024-05-18,2024-05-23,lab,phol hamilton,12,0,18,0,3,0,0,0,18,0,18,0,0,0,0,2,18,2,18,1,18,1,18,1,NA
202420,2024-05-18,2024-05-23,lab,phol peterborough,64,4,90,0,0,0,0,0,90,0,63,0,0,0,0,5,63,1,63,0,63,8,63,3,NA
202420,2024-05-18,2024-05-23,lab,st josephs hamilton,1434,52,1382,0,0,8,8,19,1382,5,1382,0,0,52,0,0,1382,6,1382,36,1382,95,0,0,NA
