time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2019-05-18,province,on,1177.0,66,12,1174.0,11,716.0,700.0,6,694.0,33,178.0,25,132.0,1,39,78,0.8,4.8,0.9,5.5,6.6,0.9,14.0,5.6,1.0
2019-05-18,province,qc,1825.0,93,68,1755.0,32,543.0,545.0,23,530.0,25,,0,529.0,4,48,161,0.8,4.7,1.8,8.8,8.8,4.2,,5.1,3.7
2019-05-25,nation,ca,4001.0,176,124,3808.0,84,2290.0,2276.0,32,2225.0,80,1280.0,210,1622.0,23,220,300,1.4,3.6,2.2,9.6,7.5,1.4,16.4,4.4,3.1
2019-05-25,province,bc,291.0,7,3,291.0,3,182.0,182.0,5,182.0,1,140.0,35,140.0,8,16,10,5.7,0.6,1.0,8.8,3.4,2.8,25.0,2.4,1.0
2019-05-25,province,on,1059.0,34,17,1058.0,25,640.0,628.0,3,609.0,15,150.0,23,119.0,1,48,51,0.8,2.5,2.4,7.5,4.8,0.5,15.3,3.2,1.6
2019-04-13,province,qc,2893.0,400,46,2782.0,136,601.0,613.0,20,579.0,39,,0,576.0,10,46,446,1.74,6.74,4.89,7.65,15.42,3.26,,13.83,1.59
2019-04-13,province,on,1521.0,214,21,1480.0,44,728.0,714.0,12,709.0,40,229.0,20,193.0,8,35,235,4.15,5.64,2.97,4.81,15.45,1.68,8.73,14.07,1.38
2019-04-13,province,bc,802.0,347,19,802.0,36,355.0,355.0,2,355.0,3,286.0,23,286.0,21,31,366,7.34,0.85,4.49,8.73,45.64,0.56,8.04,43.27,2.37
2019-03-23,nation,ca,8704.0,1765,131,8319.0,657,3399.0,3374.0,61,3346.0,184,2204.0,192,2425.0,162,150,1897,6.7,5.5,7.9,4.4,21.79,1.8,8.7,20.28,1.51
2019-03-02,province,on,1718.0,264,11,1671.0,132,788.0,775.0,6,771.0,17,262.0,31,210.0,9,15,275,4.3,2.2,7.9,1.9,16.01,0.8,11.8,15.37,0.64
2019-03-02,province,qc,3469.0,601,28,2967.0,395,621.0,627.0,12,602.0,17,,0,600.0,26,11,629,4.3,2.8,13.3,1.8,18.13,1.9,,17.32,0.81
2019-03-09,nation,ca,8814.0,1688,71,8306.0,822,3282.0,3269.0,52,3210.0,135,2018.0,113,2338.0,189,112,1759,8.1,4.2,9.9,3.4,19.96,1.6,5.6,19.15,0.81
2019-03-09,province,bc,1056.0,375,13,1056.0,113,401.0,401.0,6,401.0,1,294.0,3,294.0,43,14,388,14.6,0.3,10.7,3.5,36.74,1.5,1.0,35.51,1.23
2019-03-09,province,on,1682.0,257,10,1631.0,82,743.0,724.0,6,699.0,28,209.0,16,146.0,11,17,267,7.5,4.0,5.0,2.3,15.87,0.8,7.7,15.28,0.59
2019-03-09,province,qc,3616.0,615,19,3335.0,394,623.0,629.0,15,608.0,32,,0,608.0,26,17,634,4.3,5.3,11.8,2.7,17.54,2.4,,17.01,0.53
2019-03-16,nation,ca,8541.0,1544,90,7721.0,679,3195.0,3179.0,57,3129.0,122,1934.0,168,2259.0,154,109,1634,6.8,3.9,8.8,3.4,19.13,1.8,8.7,18.08,1.05
2019-03-16,province,bc,1169.0,381,26,1169.0,109,436.0,436.0,11,436.0,1,276.0,29,276.0,29,16,407,10.5,0.2,9.3,3.7,34.81,2.5,10.5,32.59,2.22
2019-03-16,province,on,1578.0,235,12,1519.0,74,716.0,695.0,7,700.0,24,203.0,22,172.0,10,12,247,5.8,3.4,4.9,1.7,15.65,1.0,10.8,14.89,0.76
