time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2021-01-02,province,nl,0.337,0.0
2020-12-19,territory,yk,0.0,0.0
2020-12-19,territory,nu,0.0,0.0
2020-12-19,province,nb,0.0,0.038
2020-12-19,province,mb,0.245,0.0
2020-12-19,province,ns,0.0,0.0
2020-12-19,province,ab,0.0,0.028
2020-12-19,province,nl,0.0,0.0
2020-12-19,province,pe,0.0,0.0
2020-12-19,territory,nt,0.0,0.0
2020-12-19,province,sk,0.0,0.0
2020-12-12,province,nl,0.0,0.0
2020-12-12,province,sk,0.0,0.0
2020-12-12,province,nb,0.0,0.0
2020-12-12,territory,nt,0.0,0.0
2020-12-12,territory,yk,0.0,0.0
2020-12-12,province,ns,0.0,0.0
2020-12-12,province,pe,0.0,0.0
2020-12-12,territory,nu,0.0,0.0
2020-12-12,province,ab,0.0,0.0
2020-12-12,province,mb,0.267,0.045
2020-12-05,province,ns,0.0,0.0
2020-12-05,province,nl,0.0,0.0
2020-12-05,province,pe,0.0,0.0
2020-12-05,province,nb,0.0,0.0
2020-12-05,province,ab,0.0,0.025
2020-12-05,province,mb,0.219,0.0
2020-12-05,territory,nu,0.0,0.0
2020-12-05,territory,yk,0.0,0.0
2020-12-05,territory,nt,0.0,0.0
2020-12-05,province,sk,0.505,0.0
2020-11-28,province,nb,,
2020-11-28,province,nl,0.0,0.0
2020-11-28,province,ab,0.0,0.0
2020-11-28,province,mb,0.085,0.0
2020-11-28,province,pe,0.0,0.0
2020-11-28,province,sk,0.0,0.0
2020-11-28,territory,nt,0.0,0.0
2020-11-28,territory,nu,0.0,0.0
2020-11-28,territory,yk,0.0,0.147
2020-11-28,province,ns,0.0,0.0
2020-11-21,province,pe,0.0,0.0
2020-11-21,province,nl,0.0,0.0
2020-11-21,province,nb,0.0,0.0
2020-11-21,province,ns,0.0,0.0
2020-11-21,territory,yk,0.0,0.0
2020-11-21,territory,nu,0.0,0.0
2020-11-21,province,mb,0.147,0.0
2020-11-21,territory,nt,0.0,0.0
2020-11-21,province,sk,0.0,0.0
2020-11-21,province,ab,0.0,0.0
2020-11-14,territory,nu,0.0,0.0
2020-11-14,territory,yk,0.0,1.55
2020-11-14,province,nb,0.0,0.0
2020-11-14,province,nl,0.0,0.0
2020-11-14,province,mb,0.269,0.0
2020-11-14,province,pe,0.0,0.0
2020-11-14,province,ns,0.0,0.0
2020-11-14,territory,nt,0.0,0.0
2020-11-14,province,sk,0.0,0.0
2020-11-14,province,ab,0.0,0.0
2020-11-07,territory,yk,0.0,1.575
2020-11-07,province,ns,0.0,0.0
2020-11-07,territory,nu,0.0,0.0
2020-11-07,territory,nt,0.0,0.0
2020-11-07,province,mb,0.0,0.0
2020-11-07,province,nb,0.0,0.0
2020-11-07,province,sk,0.0,0.0
2020-11-07,province,nl,0.375,0.0
2020-11-07,province,ab,0.0,0.0
2020-11-07,province,pe,4.762,0.0
2020-10-31,province,ab,0.0,0.0
2020-10-31,province,nl,0.0,0.0
2020-10-31,province,nb,0.0,0.0
2020-10-31,province,mb,0.258,0.0
2020-10-31,territory,nu,0.0,0.0
2020-10-31,territory,nt,0.0,0.0
2020-10-31,province,sk,0.0,0.0
2020-10-31,province,ns,0.0,0.0
2020-10-31,territory,yk,0.971,1.942
2020-10-31,province,pe,0.0,0.0
2020-10-24,province,sk,0.0,0.0
2020-10-24,province,pe,0.0,0.0
2020-10-24,territory,yk,0.0,0.0
2020-10-24,territory,nu,0.0,0.0
2020-10-24,territory,nt,0.0,0.0
2020-10-24,province,ab,0.0,0.0
2020-10-24,province,nb,0.0,0.0
2020-10-24,province,nl,0.0,0.0
2020-10-24,province,ns,0.0,0.0
2020-10-24,province,mb,0.71,0.0
2020-10-17,province,ab,0.0,0.0
2020-10-17,province,nl,0.0,0.0
2020-10-17,province,nb,0.0,0.0
2020-10-17,province,mb,0.873,0.0
2020-10-17,province,ns,0.0,0.0
2020-10-17,province,sk,0.0,0.0
2020-10-17,territory,yk,0.0,0.0
2020-10-17,territory,nu,0.0,0.0
2020-10-17,territory,nt,0.0,0.0
2020-10-17,province,pe,0.0,0.0
2020-10-10,province,sk,0.0,0.0
2020-10-10,territory,nt,0.0,0.0
2020-10-10,territory,nu,0.0,0.0
2020-10-10,territory,yk,0.0,0.0
2020-10-10,province,ns,0.0,0.0
2020-10-10,province,nb,0.0,0.0
2020-10-10,province,mb,0.547,0.0
2020-10-10,province,ab,0.0,0.0
2020-10-10,province,pe,0.0,0.0
2020-10-10,province,nl,0.0,0.0
2020-10-03,province,pe,0.0,0.0
2020-10-03,province,sk,0.0,0.0
2020-10-03,territory,nt,0.0,0.0
2020-10-03,territory,nu,0.0,0.0
2020-10-03,province,ns,0.0,0.0
2020-10-03,province,ab,0.0,0.0
