reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-01-25,2025-02-01,1,ca,pct wk flu lab det,quantile,0.75,25.7805
2025-01-25,2025-02-01,1,ca,pct wk flu lab det,quantile,0.9,30.951000000000008
2025-01-25,2025-02-01,1,ca,pct wk flu lab det,quantile,0.975,39.14954999999998
2025-01-25,2025-02-01,1,atlantic,pct wk flu lab det,quantile,0.025,1.6885000000000012
2025-01-25,2025-02-01,1,atlantic,pct wk flu lab det,quantile,0.1,3.474
2025-01-25,2025-02-01,1,atlantic,pct wk flu lab det,quantile,0.25,11.484
2025-01-25,2025-02-01,1,atlantic,pct wk flu lab det,quantile,0.5,18.819
2025-01-25,2025-02-01,1,atlantic,pct wk flu lab det,quantile,0.75,26.1495
2025-01-25,2025-02-01,1,atlantic,pct wk flu lab det,quantile,0.9,31.32000000000001
2025-01-25,2025-02-01,1,atlantic,pct wk flu lab det,quantile,0.975,39.51854999999998
2025-01-25,2025-02-01,1,qc,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-02-01,1,qc,pct wk flu lab det,quantile,0.1,1.6640000000000015
2025-01-25,2025-02-01,1,qc,pct wk flu lab det,quantile,0.25,10.950000000000001
2025-01-25,2025-02-01,1,qc,pct wk flu lab det,quantile,0.5,17.19
2025-01-25,2025-02-01,1,qc,pct wk flu lab det,quantile,0.75,24.520500000000002
2025-01-25,2025-02-01,1,qc,pct wk flu lab det,quantile,0.9,29.69100000000001
2025-01-25,2025-02-01,1,qc,pct wk flu lab det,quantile,0.975,37.88954999999998
2025-01-25,2025-02-01,1,on,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-02-01,1,on,pct wk flu lab det,quantile,0.1,0.15399999999999991
2025-01-25,2025-02-01,1,on,pct wk flu lab det,quantile,0.25,9.44
2025-01-25,2025-02-01,1,on,pct wk flu lab det,quantile,0.5,15.831
2025-01-25,2025-02-01,1,on,pct wk flu lab det,quantile,0.75,23.1615
2025-01-25,2025-02-01,1,on,pct wk flu lab det,quantile,0.9,28.332000000000008
2025-01-25,2025-02-01,1,on,pct wk flu lab det,quantile,0.975,36.53054999999998
2025-01-25,2025-02-01,1,prairies,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-02-01,1,prairies,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-02-01,1,prairies,pct wk flu lab det,quantile,0.25,7.139999999999999
2025-01-25,2025-02-01,1,prairies,pct wk flu lab det,quantile,0.5,13.761
2025-01-25,2025-02-01,1,prairies,pct wk flu lab det,quantile,0.75,21.0915
2025-01-25,2025-02-01,1,prairies,pct wk flu lab det,quantile,0.9,26.262000000000008
2025-01-25,2025-02-01,1,prairies,pct wk flu lab det,quantile,0.975,34.46054999999998
2025-01-25,2025-02-01,1,bc,pct wk flu lab det,quantile,0.025,5.938500000000001
2025-01-25,2025-02-01,1,bc,pct wk flu lab det,quantile,0.1,7.724
2025-01-25,2025-02-01,1,bc,pct wk flu lab det,quantile,0.25,15.309
2025-01-25,2025-02-01,1,bc,pct wk flu lab det,quantile,0.5,22.644000000000002
2025-01-25,2025-02-01,1,bc,pct wk flu lab det,quantile,0.75,29.9745
2025-01-25,2025-02-01,1,bc,pct wk flu lab det,quantile,0.9,35.14500000000001
2025-01-25,2025-02-01,1,bc,pct wk flu lab det,quantile,0.975,43.343549999999986
2025-01-25,2025-02-01,1,territories,pct wk flu lab det,quantile,0.025,0.36850000000000094
2025-01-25,2025-02-01,1,territories,pct wk flu lab det,quantile,0.1,2.154
2025-01-25,2025-02-01,1,territories,pct wk flu lab det,quantile,0.25,11.44
2025-01-25,2025-02-01,1,territories,pct wk flu lab det,quantile,0.5,17.631
2025-01-25,2025-02-01,1,territories,pct wk flu lab det,quantile,0.75,24.9615
2025-01-25,2025-02-01,1,territories,pct wk flu lab det,quantile,0.9,30.132000000000005
2025-01-25,2025-02-01,1,territories,pct wk flu lab det,quantile,0.975,38.330549999999974
2025-01-25,2025-02-08,2,ca,pct wk flu lab det,quantile,0.025,0.9065000000000012
2025-01-25,2025-02-08,2,ca,pct wk flu lab det,quantile,0.1,3.1020000000000003
2025-01-25,2025-02-08,2,ca,pct wk flu lab det,quantile,0.25,11.990000000000002
2025-01-25,2025-02-08,2,ca,pct wk flu lab det,quantile,0.5,20.330000000000002
2025-01-25,2025-02-08,2,ca,pct wk flu lab det,quantile,0.75,28.335
2025-01-25,2025-02-08,2,ca,pct wk flu lab det,quantile,0.9,33.932
2025-01-25,2025-02-08,2,ca,pct wk flu lab det,quantile,0.975,43.18949999999998
2025-01-25,2025-02-08,2,atlantic,pct wk flu lab det,quantile,0.025,3.166499999999999
2025-01-25,2025-02-08,2,atlantic,pct wk flu lab det,quantile,0.1,5.361999999999998
2025-01-25,2025-02-08,2,atlantic,pct wk flu lab det,quantile,0.25,14.25
2025-01-25,2025-02-08,2,atlantic,pct wk flu lab det,quantile,0.5,22.59
2025-01-25,2025-02-08,2,atlantic,pct wk flu lab det,quantile,0.75,30.595
2025-01-25,2025-02-08,2,atlantic,pct wk flu lab det,quantile,0.9,36.19200000000001
2025-01-25,2025-02-08,2,atlantic,pct wk flu lab det,quantile,0.975,45.44949999999997
2025-01-25,2025-02-08,2,qc,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-02-08,2,qc,pct wk flu lab det,quantile,0.1,1.5519999999999996
2025-01-25,2025-02-08,2,qc,pct wk flu lab det,quantile,0.25,10.440000000000001
2025-01-25,2025-02-08,2,qc,pct wk flu lab det,quantile,0.5,18.78
2025-01-25,2025-02-08,2,qc,pct wk flu lab det,quantile,0.75,26.785
2025-01-25,2025-02-08,2,qc,pct wk flu lab det,quantile,0.9,32.382000000000005
2025-01-25,2025-02-08,2,qc,pct wk flu lab det,quantile,0.975,41.63949999999998
2025-01-25,2025-02-08,2,on,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-02-08,2,on,pct wk flu lab det,quantile,0.1,0.3019999999999996
2025-01-25,2025-02-08,2,on,pct wk flu lab det,quantile,0.25,9.190000000000001
2025-01-25,2025-02-08,2,on,pct wk flu lab det,quantile,0.5,17.53
2025-01-25,2025-02-08,2,on,pct wk flu lab det,quantile,0.75,25.535
2025-01-25,2025-02-08,2,on,pct wk flu lab det,quantile,0.9,31.132000000000005
2025-01-25,2025-02-08,2,on,pct wk flu lab det,quantile,0.975,40.38949999999998
2025-01-25,2025-02-08,2,prairies,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-02-08,2,prairies,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-02-08,2,prairies,pct wk flu lab det,quantile,0.25,5.16
2025-01-25,2025-02-08,2,prairies,pct wk flu lab det,quantile,0.5,13.5
2025-01-25,2025-02-08,2,prairies,pct wk flu lab det,quantile,0.75,21.505
2025-01-25,2025-02-08,2,prairies,pct wk flu lab det,quantile,0.9,27.102000000000004
2025-01-25,2025-02-08,2,prairies,pct wk flu lab det,quantile,0.975,36.359499999999976
2025-01-25,2025-02-08,2,bc,pct wk flu lab det,quantile,0.025,5.7364999999999995
2025-01-25,2025-02-08,2,bc,pct wk flu lab det,quantile,0.1,7.931999999999999
2025-01-25,2025-02-08,2,bc,pct wk flu lab det,quantile,0.25,16.82
2025-01-25,2025-02-08,2,bc,pct wk flu lab det,quantile,0.5,25.16
2025-01-25,2025-02-08,2,bc,pct wk flu lab det,quantile,0.75,33.165
